date,close,atr-band-lower,atr-band-upper,p0-low,p0-high,p1-low,p1-high,pweek-high,pweek-low
2017-01-10T21:30:00Z,1.05535,1.0476999999999999,1.0630000000000002,1.05507,1.06272,1.05507,1.06272,1.06272,1.05507
2017-01-11T21:30:00Z,1.05815,1.0467749999999998,1.0639250000000002,1.04539,1.06229,1.05507,1.06272,1.06272,1.04539
2017-01-12T21:30:00Z,1.06115,1.0493004999999997,1.0669995,1.05714,1.06846,1.04539,1.06229,1.06846,1.04539
2017-01-13T21:30:00Z,1.06399,1.0523904499999999,1.0699095500000002,1.05961,1.06756,1.05714,1.06846,1.06846,1.04539
2017-01-16T21:30:00Z,1.05955,1.0554974049999999,1.072482595,1.0579,1.06356,1.05961,1.06756,1.06846,1.04539
2017-01-17T21:30:00Z,1.07125,1.0506596645,1.0684403355,1.05949,1.07196,1.0579,1.06356,1.07196,1.04539
2017-01-18T21:30:00Z,1.06288,1.06237769805,1.0801223019500001,1.06283,1.07154,1.05949,1.07196,1.07196,1.04539
2017-01-19T21:30:00Z,1.06626,1.054018928245,1.071741071755,1.05891,1.06767,1.06283,1.07154,1.07196,1.05714
2017-01-20T21:30:00Z,1.06984,1.0574400354205,1.0750799645795,1.06251,1.07096,1.05891,1.06767,1.07196,1.0579
2017-01-23T21:30:00Z,1.07626,1.06115003187845,1.0785299681215499,1.0694,1.07692,1.06251,1.07096,1.07692,1.0579
2017-01-24T21:30:00Z,1.07299,1.067890028690605,1.084629971309395,1.07202,1.07751,1.0694,1.07692,1.07751,1.05891
2017-01-25T21:30:00Z,1.07459,1.0648720258215445,1.0811079741784557,1.07113,1.07698,1.07202,1.07751,1.07751,1.05891
2017-01-26T21:30:00Z,1.06799,1.0662028232393899,1.08297717676061,1.06576,1.07657,1.07113,1.07698,1.07751,1.05891
2017-01-27T21:30:00Z,1.06904,1.0597745409154509,1.0762054590845491,1.06581,1.07248,1.06576,1.07657,1.07751,1.06251
2017-01-30T21:30:00Z,1.06912,1.060445086823906,1.077634913176094,1.06202,1.07403,1.06581,1.07248,1.07751,1.06202
2017-01-31T21:30:00Z,1.07971,1.0601055781415154,1.0781344218584847,1.06844,1.08123,1.06202,1.07403,1.08123,1.06202
2017-02-01T21:30:00Z,1.07677,1.0708130203273638,1.088606979672636,1.07292,1.08076,1.06844,1.08123,1.08123,1.06202
2017-02-02T21:30:00Z,1.07578,1.0680327182946274,1.0855072817053726,1.07558,1.08288,1.07292,1.08076,1.08288,1.06202
2017-02-03T21:30:00Z,1.07849,1.0670264464651646,1.0845335535348353,1.07087,1.07977,1.07558,1.08288,1.08288,1.06202
2017-02-06T21:30:00Z,1.0749,1.0697548018186482,1.0872251981813517,1.07054,1.07911,1.07087,1.07977,1.08288,1.06202
2017-02-07T21:30:00Z,1.06834,1.0660963216367834,1.0837036783632166,1.0656,1.07502,1.07054,1.07911,1.08288,1.0656
2017-02-08T21:30:00Z,1.06979,1.059679689473105,1.077000310526895,1.06404,1.07141,1.0656,1.07502,1.08288,1.06404
2017-02-09T21:30:00Z,1.06507,1.0613987205257946,1.0781812794742054,1.06499,1.07096,1.06404,1.07141,1.08288,1.06404
2017-02-10T21:30:00Z,1.06353,1.056916848473215,1.073223151526785,1.06075,1.06676,1.06499,1.07096,1.07977,1.06075
2017-02-13T21:30:00Z,1.05915,1.0555151636258937,1.0715448363741065,1.05908,1.06585,1.06075,1.06676,1.07911,1.05908
2017-02-14T21:30:00Z,1.05727,1.0512106472633043,1.0670893527366958,1.05608,1.06334,1.05908,1.06585,1.07502,1.05608
2017-02-15T21:30:00Z,1.05984,1.0492455825369738,1.065294417463026,1.05212,1.06091,1.05608,1.06334,1.07141,1.05212
2017-02-16T21:30:00Z,1.06744,1.0517120242832763,1.0679679757167235,1.05887,1.06793,1.05212,1.06091,1.07096,1.05212
2017-02-17T21:30:00Z,1.06083,1.0593948218549487,1.0754851781450512,1.06036,1.06766,1.05887,1.06793,1.06793,1.05212
2017-02-20T21:30:00Z,1.0609,1.0532863396694538,1.068373660330546,1.06026,1.06329,1.06036,1.06766,1.06793,1.05212
2017-02-21T21:30:00Z,1.05297,1.0532127057025085,1.0685872942974914,1.05254,1.06152,1.06026,1.06329,1.06793,1.05212
2017-02-22T21:30:00Z,1.05571,1.0452474351322576,1.0606925648677423,1.04936,1.0574,1.05254,1.06152,1.06793,1.04936
2017-02-23T21:30:00Z,1.0581,1.0481786916190319,1.063241308380968,1.05373,1.05954,1.04936,1.0574,1.06793,1.04936
2017-02-24T21:30:00Z,1.05597,1.0507058224571288,1.0654941775428712,1.05562,1.06178,1.05373,1.05954,1.06766,1.04936
2017-02-27T21:30:00Z,1.0586,1.048521240211416,1.0634187597885842,1.05512,1.06306,1.05562,1.06178,1.06329,1.04936
2017-02-28T21:30:00Z,1.05762,1.0512441161902744,1.0659558838097256,1.05649,1.06301,1.05512,1.06306,1.06306,1.04936
2017-03-01T21:30:00Z,1.05462,1.0502477045712468,1.0649922954287532,1.05141,1.05893,1.05649,1.06301,1.06306,1.04936
2017-03-02T21:30:00Z,1.05052,1.047416934114122,1.0618230658858778,1.04948,1.05516,1.05141,1.05893,1.06306,1.04948
2017-03-03T21:30:00Z,1.06214,1.0427702407027097,1.05826975929729,1.04971,1.06238,1.04948,1.05516,1.06306,1.04948
2017-03-06T21:30:00Z,1.05816,1.054507216632439,1.0697727833675612,1.05743,1.06401,1.04971,1.06238,1.06401,1.04948
2017-03-07T21:30:00Z,1.05642,1.050844494969195,1.065475505030805,1.0558,1.06026,1.05743,1.06401,1.06401,1.04948
2017-03-08T21:30:00Z,1.05414,1.0494320454722754,1.0634079545277244,1.05338,1.05742,1.0558,1.06026,1.06401,1.04948
2017-03-09T21:30:00Z,1.0576,1.0469478409250481,1.061332159074952,1.05251,1.06154,1.05338,1.05742,1.06401,1.04948
2017-03-10T21:30:00Z,1.06706,1.0498490568325434,1.0653509431674568,1.05713,1.06991,1.05251,1.06154,1.06991,1.04971
2017-03-13T20:30:00Z,1.06506,1.0594461511492888,1.074673848850711,1.06506,1.07144,1.05713,1.06991,1.07144,1.05251
2017-03-14T20:30:00Z,1.06041,1.05758053603436,1.0725394639656398,1.05997,1.06624,1.06506,1.07144,1.07144,1.05251
2017-03-15T20:30:00Z,1.0732,1.052311482430924,1.068508517569076,1.06034,1.07401,1.05997,1.06624,1.07401,1.05251
2017-03-16T20:30:00Z,1.07637,1.0652643341878316,1.0811356658121682,1.07056,1.07703,1.06034,1.07401,1.07703,1.05251
2017-03-17T20:30:00Z,1.0738,1.0686779007690486,1.0840620992309515,1.07274,1.07824,1.07056,1.07703,1.07824,1.05713
2017-03-20T20:30:00Z,1.07393,1.0663551106921436,1.0812448893078566,1.0725,1.07772,1.07274,1.07824,1.07824,1.05997
2017-03-21T20:30:00Z,1.08096,1.0662255996229293,1.0816344003770708,1.07189,1.08193,1.0725,1.07772,1.08193,1.05997
2017-03-22T20:30:00Z,1.07969,1.0735380396606362,1.0883819603393636,1.07758,1.08246,1.07189,1.08193,1.08246,1.06034
2017-03-23T20:30:00Z,1.07836,1.0726402356945728,1.0867397643054273,1.0768,1.0805,1.07758,1.08246,1.08246,1.07056
2017-03-24T20:30:00Z,1.07962,1.0714362121251153,1.0852837878748847,1.07601,1.0818,1.0768,1.0805,1.08246,1.07189
2017-03-27T20:30:00Z,1.08627,1.0722925909126038,1.0869474090873963,1.08208,1.09058,1.07601,1.0818,1.09058,1.07189
2017-03-28T20:30:00Z,1.08128,1.0789353318213435,1.0936046681786566,1.07986,1.08726,1.08208,1.09058,1.09058,1.07189
